topic,abstract,criteria,dataset
Cross_sectional relation of long_term glucocorticoids in hair with anthropometric measurements and their possible determinants: A systematic review and meta_analysis,"Background: Long-term glucocorticoids (HairGC) measured in scalp hair have been associated with body mass index (BMI), waist circumference (WC), and waist-hip-ratio (WHR) in several cross-sectional studies. We aimed to investigate the magnitude, strength, and clinical relevance of these relations across all ages. Methods: We performed a systematic review and meta-analysis (PROSPERO registration CRD42020205187) searching for articles relating HairGC to measures of obesity. Main outcomes were bivariate correlation coefficients and unadjusted simple linear regression coefficients relating hair cortisol (HairF) and hair cortisone (HairE) to BMI, WC, and WHR. Results: We included k = 146 cohorts (n = 34,342 individuals). HairGC were positively related to all anthropometric measurements. The strongest correlation and largest effect size were seen for HairE-WC: pooled correlation 0.18 (95%CI 0.11-0.24; k = 7; n = 3,158; I2 = 45.7%) and pooled regression coefficient 11.0 cm increase in WC per point increase in 10-log-transformed HairE (pg/mg) on liquid-chromatography-(tandem) mass spectrometry (LC-MS) (95%CI 10.1-11.9 cm; k = 6; n = 3,102). Pooled correlation for HairF-BMI was 0.10 (95%CI 0.08-0.13; k = 122; n = 26,527; I2 = 51.2%) and pooled regression coefficient 0.049 kg/m2 per point increase in 10-log-transformed HairF (pg/mg) on LC-MS (95%CI 0.045-0.054 kg/m2 ; k = 26; n = 11,635). Discussion: There is a consistent positive association between HairGC and BMI, WC, and WHR, most prominently and clinically relevant for HairE-WC. These findings overall suggest an altered setpoint of the hypothalamic-pituitary-adrenal axis with increasing central adiposity.","We included studies that reported cross‐sectional associations between HairGC and measurements of obesity. We excluded case reports, animal studies, review articles, non‐English or nonpeer reviewed studies, and studies in which hair sampling and weight measurements were not performed simultaneously (Figure 1). Pediatric studies that only included children younger than age 2 years were also excluded because BMI‐based definitions of obesity are not available for this age group. 10 We contacted all corresponding authors of articles that reported both HairGC and anthropometric data but did not report an association between these two outcomes to ask if they could provide us with an association measure. Of articles that also included patients with mental or physical diseases that are known to influence the relation between GCs and obesity, we only included the separate analyses of healthy controls if available. When data of the same participants were reported in several studies, we included the study that reported a bivariate association (correlation coefficient or unstandardized simple linear regression coefficient) between HairGC and measurements of obesity. If more than one article reported a bivariate association, we included the study with the largest sample size.",
Diferential efcacy and_afety of_nti_SARS_CoV_2 antibody therapies for_he_anagement of_OVID_19: a_ystematic review and_etwork meta_analysis,"This study evaluated the efficacy and safety of neutralizing monoclonal antibodies (mAbs) with usual care in patients with coronavirus disease 2019 (COVID-19). Randomized controlled trials comparing the efficacy and safety of neutralizing mAb treatment in patients with COVID-19 were identified using electronic database searches through March 10, 2023. This systematic review was conducted following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. Overall, 13 trials (23 articles) involving 25,646 patients were included in this systematic review. Compared with usual care, neutralizing mAbs were associated with significantly reduced all-cause mortality in outpatients with COVID-19 (pooled risk ratios [RR], 0.41; 95% confidence interval (CI), 0.20-0.83; 12 studies), but not in inpatients. In the subgroup analysis, only outpatients infected prior to the emergence of Delta variant or those with mAb-VOC match had significantly reduced mortality, while no significant benefit was observed in patients infected with Delta and post-Delta variants or mAb-VOC mismatch. Moreover, the rate of hospitalization and number of hospital visits had significantly reduced only in outpatients infected prior to the emergence of the Delta variant and those with mAb-VOC match. Our systematic review used majority of the high-certainty evidence. Our study found neutralizing mAbs were beneficial for outpatients infected prior to Delta variant or mAb-VOC match. In the face of the continuous emergence of new COVID-19 variants, additional clinical data are needed to determine whether neutralizing mAb treatment will be effective for the newly emerging variants.","Articles that met the following requirements were included in the study: 1) patients were adults with COVID-19; 2) interventions using neutralizing mAbs; 3) the comparator was a placebo or standard of care treatment; and 4) outcomes included primary or secondary outcomes (the primary outcomes included all-cause mortality at 28 days and hospitalization or hospital visit. Clinical recovery, ICU admission, mechanical ventilation, hospital discharge, and serious adverse events were classified as secondary outcomes.); 5) The study was a RCT. Only English and Korean studies were included in this meta-analysis. Two review authors independently and in duplicate evaluated publications for inclusion based on title and abstract and then reviewed relevant full-text articles. Disagreements during the review process were addressed by consensus, with the involvement of a third review author.",
Does the Source of Mesenchymal Stem Cell Have an Effect in the Management of Osteoarthritis of the Knee? Meta-Analysis of Randomized Controlled Trials,"Study design: Meta-analysis. Objectives: To compare the efficacy and safety of bone marrow(BM)-derived mesenchymal stem cell(MSCs) and adipose-derived(AD) MSCs in the management of osteoarthritis of knee from randomized controlled trials(RCTs) available in the literature. Materials and methods: We conducted electronic database searche from PubMed, Embase, and Cochrane Library till May 2020 for RCTs analyzing the efficacy and safety of MSCs in management of osteoarthritis of knee. Visual Analog Score(VAS) for Pain, Western Ontario McMaster Universities Osteoarthritis Index(WOMAC), Lysholm Knee Scale(Lysholm), Whole-Organ Magnetic Resonance Imaging Score(WORMS), Knee Osteoarthritis Outcome Score(KOOS), and adverse events were the outcomes analyzed. Analysis was performed in R platform using OpenMeta[Analyst] software. Results: Nineteen studies involving 811 patients were included for analysis. None of the studies compared the source of MSCs for osteoarthritis of knee and results were obtained by pooled data analysis of both sources. At 6 months, AD-MSCs showed significantly better VAS(P<0.001,P=0.069) and WOMAC(P=0.134,P=0.441) improvement than BM-MSCs, respectively, compared to controls. At 1 year, AD-MSCs outperformed BM-MSCs compared to their control in measures like WOMAC(P=0.007,P=0.150), KOOS(P<0.001;P=0.658), and WORMS(P<0.001,P=0.041), respectively. Similarly at 24 months, AD-MSCs showed significantly better Lysholm score(P=0.037) than BM-MSCs(P=0.807) although VAS improvement was better with BM-MSCs at 24 months(P<0.001). There were no significant adverse events with either of the MSCs compared to their controls. Conclusion: Our analysis establishes the efficacy, safety, and superiority of AD-MSC transplantation, compared to BM-MSC, in the management of osteoarthritis of knee from available literature. Further RCTs are needed to evaluate them together with standardized doses.","Studies were included for quantitative review if they met the following PICOS criteria: Population: Patients with knee osteoarthritis. Intervention: MSC therapy. Comparator: Usual care. Outcomes: Visual Analog Score (VAS) for Pain, Western Ontario McMaster Universities Osteoarthritis Index (WOMAC), Lysholm Knee. Scale (Lysholm), Whole-Organ Magnetic Resonance Imaging Score (WORMS), Knee Osteoarthritis Outcome Score (KOOS), and adverse events. Study Design: Randomized controlled trials. Trials were excluded if they had the following characteristics: 1. Observational studies and interventional studies without a comparator group. 2. Animal studies involving stem cell therapy for knee osteoarthritis models. 3. Review articles and in-vitro studies involving stem cell therapy.",
Efficacy and safety of corticosteroid regimens for the treatment of hospitalized COVID-19 patients: a meta-analysis,"Aim: To evaluate the efficacy and safety of corticosteroids for treating hospitalized COVID-19 patients. Materials & methods: Efficacy outcomes included time to negative SARS-CoV-2 tests, length of stay, duration and incidence of intensive unit care stay, incidence of mortality and duration and incidence of mechanical ventilation. Safety outcomes included the incidence of adverse eventEfficacy and safety of corticosteroid regimens for the treatment of hospitalized COVID-19 patients: a meta-analysiss and severe adverse events, incidence of hyperglycemia and incidence of nosocomial infections. Results: Ninety-five randomized controlled trials (RCTs) and observational studies (n = 42,205) were included. Corticosteroids were associated with increased length of stay (based on RCT only), increased time to negative tests, decreased length of mechanical ventilation and increased odds of hyperglycemia. Conclusion: Corticosteroids should be considered in patients requiring mechanical ventilation, and glycemic monitoring may be needed when administering corticosteroids.","We included both randomized and non-randomized comparative studies that met the following inclusion criteria: compared any corticosteroid therapy with standard of care, or compared any corticosteroid therapy with an adjuvant therapy to adjuvant therapy alone, and included hospitalized COVID-19 patients. We only included studies using adjuvant therapies if the adjuvant therapy between the control and experimental arms are the same in order to minimize the effect of the adjuvant therapies on treatment outcomes.",
Efficacy and safety of ivermectin for the treatment of COVID-19: a systematic review and meta-analysis,"Background: Ivermectin became a popular choice for COVID-19 treatment among clinicians and the public following encouraging results from pre-print trials and in vitro studies. Early reviews recommended the use of ivermectin based largely on non-peer-reviewed evidence, which may not be robust. This systematic review and meta-analysis assessed the efficacy and safety of ivermectin for treating COVID-19 based on peer-reviewed randomized controlled trials (RCTs) and observational studies (OSs). Methods: MEDLINE, EMBASE and PubMed were searched from 1 January 2020 to 1 September 2021 for relevant studies. Outcomes included time to viral clearance, duration of hospitalization, mortality, incidence of mechanical ventilation and incidence of adverse events. RoB2 and ROBINS-I were used to assess risk of bias. Random-effects meta-analyses were conducted. GRADE was used to evaluate quality of evidence. Results: Three OSs and 14 RCTs were included in the review. Most RCTs were rated as having some concerns in regards to risk of bias, while OSs were mainly rated as having a moderate risk of bias. Based on meta-analysis of RCTs, the use of ivermectin was not associated with reduction in time to viral clearance, duration of hospitalization, incidence of mortality and incidence of mechanical ventilation. Ivermectin did not significantly increase incidence of adverse events. Meta-analysis of OSs agrees with findings from RCT studies. Conclusions: Based on very low to moderate quality of evidence, ivermectin was not efficacious at managing COVID-19. Its safety profile permits its use in trial settings to further clarify its role in COVID-19 treatment.",We included both randomized and non-randomized comparative studies that met the following criteria: (i) compared ivermectin to standard of care or a control group receiving placebo; (ii) included adult COVID-19 inpatients and/or outpatients; and (iii) reported any of our outcomes of interest.,
Efficacy and safety of selective serotonin reuptake inhibitors in COVID-19 management: a systematic review and meta-analysis,"Background: The efficacy of selective serotonin reuptake inhibitors (SSRIs) in the treatment of acute COVID-19 is still under investigation, with conflicting results reported from randomized controlled trials (RCTs). Different dosing regimens may have contributed to the contradictory findings. Objectives: To evaluate the efficacy and safety of SSRIs and the effect of different dosing regimens on the treatment of acute COVID-19. Data sources: Seven databases were searched from January 2020 to December 2022. Trial registries, previous reviews, and preprint servers were hand-searched. Study eligibility criteria: RCTs and observational studies with no language restrictions. Participants: COVID-19 inpatients/outpatients. Interventions: SSRIs prescribed after diagnosis were compared against a placebo or standard of care. Assessment of risk of bias: Risk of bias was rated using the revised Cochrane Risk of Bias Tool for Randomized Trials version 2.0 and Risk of Bias in Non-Randomized Studies of Interventions. Methods of data synthesis: Outcomes were mortality, hospitalization, composite of hospitalization/emergency room visits, hypoxemia, requirement for supplemental oxygen, ventilator support, and serious adverse events. RCT data were pooled in random-effects meta-analyses. Observational findings were narratively described. Subgroup analyses were performed on the basis of SSRI dose, and sensitivity analyses were performed excluding studies with a high risk of bias. The Grading of Recommendations, Assessment, Development and Evaluations framework was used to assess the quality of evidence. Results: Six RCTs (N = 4197) and five observational studies (N = 1156) were included. Meta-analyses associated fluvoxamine with reduced mortality (risk ratio, 0.72; 95% CI, 0.63-0.82) and hospitalization (risk ratio, 0.79; 95% CI, 0.64-0.99) on the basis of moderate quality of evidence. Medium-dose fluvoxamine (100 mg twice a day) was associated with reduced mortality, hospitalization, and composite of hospitalization/emergency room visits, but low-dose fluvoxamine (50 mg twice a day) was not. Fluvoxamine was not associated with increased serious adverse events. Observational studies support the use of fluvoxamine and highlight fluoxetine as a possible alternative to SSRIs for the treatment of COVID-19. Discussion: Fluvoxamine remains a candidate pharmacotherapy for treating COVID-19 in outpatients. Medium-dose fluvoxamine may be preferable over low-dose fluvoxamine.",We included RCTs and prospective or retrospective observational studies that included inpatients and/or outpatients of any age with COVID-19 and compared the use of SSRIs to the use of the standard of care or placebo. Studies assessing patients with past or ongoing SSRI prescriptions at the time of diagnosis were specifically excluded. We did not impose any language restrictions.,
Efficacy of chloroquine and hydroxychloroquine for the treatment of hospitalized COVID-19 patients: a meta-analysis,"Aims: To evaluate the efficacy and safety of hydroxychloroquine/chloroquine, with or without azithromycin, in treating hospitalized COVID-19 patients. Materials & methods: Data from randomized and observational studies were included in a random-effects meta-analysis. Primary outcomes included time to negative conversion of SARS-CoV-2 tests, length of stay, mortality, incidence of mechanical ventilation, time to normalization of body temperature, incidence of adverse events and incidence of QT prolongations. Results: Fifty-one studies (n = 61,221) were included. Hydroxychloroquine/chloroquine showed no efficacy in all primary efficacy outcomes, but was associated with increased odds of QT prolongations. Conclusion: Due to a lack of efficacy and increased odds of cardiac adverse events, hydroxychloroquine/chloroquine should not be used for treating hospitalized COVID-19 patients.","We included both randomized and non-randomized comparative studies that met the following inclusion criteria in our review: compared hydroxychloroquine or chloroquine as a monotherapy or in combination with azithromycin with standard of care, or compared hydroxychloroquine or chloroquine with adjuvant therapies to adjuvant therapies alone, and included hospitalized COVID-19 patients. For studies involving hydroxychloroquine with adjuvant therapies, we only included studies that used the same adjunctive therapy for both its intervention and control arms to minimize the effect of adjuvant therapies on treatment outcomes, similar to the design of several other meta-analyses [44–46].",
Efficacy of lopinavir_itonavir combination therapy for the treatment of hospitalized COVID-19 patients: a meta-analysis,"Aim: To evaluate the efficacy and safety of lopinavir-ritonavir (LPV/r) therapy in treating hospitalized COVID-19 patients. Materials & methods: Data from randomized and observational studies were included in meta-analyses. Primary outcomes were length of stay, time for SARS-CoV-2 test conversion, mortality, incidence of mechanical ventilation, time to body temperature normalization and incidence of adverse events. Results: Twenty-four studies (n = 10,718) were included. LPV/r demonstrated no significant benefit over the control groups in all efficacy outcomes. The use of LPV/r was associated with a significant increase in the odds of adverse events. Conclusion: Given the lack of efficacy and increased incidence of adverse events, the clinical use of LPV/r in hospitalized COVID-19 patients is not recommended.","We included both RCTs and comparative non-randomized observational studies that satisfied the following inclusion criteria in our analysis: compared LPV/r with standard of care, or compared LPV/r with adjuvant therapies to adjuvant therapies alone, included laboratory-confirmed, hospitalized COVID-19 patients. While we included studies involving LPV/r with adjuvant therapies, we only included studies that used the same concurrent therapy for its intervention and control arms to minimize the effect of adjuvant therapies on treatment outcomes, similar to the design of several other meta-analyses [56–58].",
Efficacy of therapeutic plasma exchange for treatment of autoimmune hemolytic anemia: A systematic review and meta-analysis of randomized controlled trials,"Objective: We performed a systematic review and meta-analysis to evaluate the efficacy and safety of therapeutic plasma exchange (TPE) in adult patients with autoimmune hemolytic anemia (AIHA). Methods: A search of major English and Chinese databases for randomized controlled trials (RCTs) comparing the use of TPE against no TPE in adult AIHA patients was performed. Outcomes were remission incidence, hematological parameters (ie, hemoglobin count, red blood cell count, reticulocyte percentage, total bilirubin, and hematocrit) and adverse event incidence. Results: Thirteen RCTs containing 906 patients were included. A majority of RCTs were given an unclear risk of bias. TPE was associated with increased remission incidence (risk ratio [RR] = 1.22, 95% confidence interval [CI] = 1.15-1.30) and improved hematological parameters. TPE was also associated with an insignificant increase in adverse event incidence (RR = 1.12, 95% CI = 0.68 to 1.86). Publication bias was detected for remission incidence and reticulocyte percentage, and it may have led to an overestimation of beneficial improvements in reticulocyte percentage. Conclusion: TPE was associated with both increased remission incidence and improved hematological parameters. It is capable of improving short-term hematological parameters to stabilize acute AIHA onset. Our results should be interpreted with caution due to the unclear risk of bias and the presence of publication biases. We were not able to determine the treatment effects for cold and warm AIHA separately due to a lack of subgroup data. Future RCTs incorporating larger sample sizes with subgroup data for warm and cold AIHA are needed to validate our findings and establish subgroup efficacy and safety.","We included parallel RCTs that satisfied the following criteria in our analysis: (a) included adult (age ≥ 18) AIHA patients, (b) compared the use of TPE with no TPE, and (c) reported any of our primary or secondary outcomes of interest. We included studies that administered other AIHA therapies concurrently with TPE, as we did not identify any studies that utilized TPE as a monotherapy or randomized patients to untreated control arms. To minimize the effect of concurrent therapies on treatment outcomes, we only included studies that employed the same concurrent therapies for both the control and the TPE arms (ie, concurrent therapy vs concurrent therapy + TPE).",
Fragility Analysis of Statistically Significant Outcomes of Randomized Control Trials in Spine Surgery,"Study design: Systematic review. Objectives: The aim of this study was to assess the robustness of statistically significant outcomes from randomized control trials (RCTs) in spine surgery using Fragility Index (FI) which is a novel metric measuring the number of events upon which statistical significance of the outcome depends. Summary of background data: Many trials in Spine surgery were characterized by fewer outcome events along with small sample size. FI helps us identify the robustness of the results from such studies with statistically significant dichotomous outcomes. Methods: We conducted independent and in duplicate, a systematic review of published RCTs in spine surgery from PubMed Central, Embase, and Cochrane Database. RCTs with 1:1 prospective study design and reporting statistically significant dichotomous primary or secondary outcomes were included. FI was calculated for each RCT and its correlation with various factors was analyzed. Results: Seventy trials met inclusion criteria with a median sample size of 133 (interquartile range [IQR]: 80-218) and median reported events per trial was 38 (IQR: 13-94). The median FI score was 2 (IQR: 0-5), which means if we switch two patients from nonevent to event, the statistical significance of the outcome is lost. The FI score was less than the number of patients lost to follow-up in 28 of 70 trials. The FI score was found to positively correlated with sample size (r = 0.431, P = 0.001), total number of outcome events (r = 0.305, P = 0.01) while negatively correlated with P value (r = -0.392, P = 0.001). Funding, journal impact-factor, risk of bias domains, and year of publication did not have a significant correlation. Conclusion: Statistically significant dichotomous outcomes reported in spine surgery RCTs are more often fragile and outcomes of the patients lost to follow-up could have changed the significance of results and hence it needs caution before transcending their results into clinical application. The addition of FI in routine reporting of RCTs would guide readers on the robustness of the statistical significance of outcomes. RCTs with FI ≥5 without any patient lost to follow-up can be considered to have clinically robust results.Level of Evidence: 1.","To be included in our study, a study should meet the following criteria: 1. The study should be an RCT with 1:1 parallel two-arm design. 2. The study must be related to spine surgery involving preoperative or intraoperative or postoperative variables. 3. The study must have a dichotomous primary or secondary outcome. Exclusion Criteria: 1. Studies not involving human subjects. 2. Studies with continuous variable outcomes like pain scores, Oswestry Disability Index scores, time to union without predefined clinical success criteria. 3. Studies that did not report a statistically significant primary or secondary outcome measure.",
Human and animal evidence of potential transgenerational inheritance of health effects: An evidence map and state-of-the-science evaluation,"Background: An increasing number of reports suggest early life exposures result in adverse effects in offspring who were never directly exposed; this phenomenon is termed ""transgenerational inheritance."" Given concern for public health implications for potential effects of exposures transmitted to subsequent generations, it is critical to determine how widespread and robust this phenomenon is and to identify the range of exposures and possible outcomes. Objectives: This scoping report examines the evidence for transgenerational inheritance associated with exposure to a wide range of stressors in humans and animals to identify areas of consistency, uncertainty, data gaps, and to evaluate general risk of bias issues for the transgenerational study design. Methods: A protocol was developed to collect and categorize the literature into a systematic evidence map for transgenerational inheritance by health effects, exposures, and evidence streams following the Office of Health Assessment and Translation (OHAT) approach for conducting literature-based health assessments. Results: A PubMed search yielded 63,758 unique records from which 257 relevant studies were identified and categorized into a systematic evidence map by evidence streams (46 human and 211 animal), broad health effect categories, and exposures. Data extracted from the individual studies are available in the Health Assessment Workspace Collaborative (HAWC) program. There are relatively few bodies of evidence where multiple studies evaluated the same exposure and the same or similar outcomes. Studies evaluated for risk of bias generally had multiple issues in design or conduct. Conclusions: The evidence mapping illustrated that risk of bias, few studies, and heterogeneity in exposures and endpoints examined present serious limitations to available bodies of evidence for assessing transgenerational effects. Targeted research is suggested to addressed inconsistencies and risk of bias issues identified, and thereby establish more robust bodies of evidence to critically assess transgenerational effects - particularly by adding data on exposure-outcome pairs where there is some evidence (i.e., reproductive, metabolic, and neurological effects).","In order to be eligible for inclusion, studies had to satisfy eligibility criteria specified by the PECO statement (Table 1). The following additional criteria were also used for exclusion: • articles without original data (i.e., reviews, editorials, commentaries) • studies of non-animal organisms (e.g., plants, fungi) • in vitro exposure studies • non-English publications",
Long-term Outcomes of Cognitive Behavioral Therapy for Anxiety-Related Disorders,"Importance: Cognitive behavioral therapy is recommended for anxiety-related disorders, but evidence for its long-term outcome is limited. Objective: This systematic review and meta-analysis aimed to assess the long-term outcomes after cognitive behavioral therapy (compared with care as usual, relaxation, psychoeducation, pill placebo, supportive therapy, or waiting list) for anxiety disorders, posttraumatic stress disorder (PTSD), and obsessive-compulsive disorder (OCD). Data sources: English-language publications were identified from PubMed, PsycINFO, Embase, Cochrane, OpenGrey (1980 to January 2019), and recent reviews. The search strategy included a combination of terms associated with anxiety disorders (eg, panic or phobi*) and study design (eg, clinical trial or randomized controlled trial). Study selection: Randomized clinical trials on posttreatment and at least 1-month follow-up effects of cognitive behavioral therapy compared with control conditions among adults with generalized anxiety disorder, panic disorder with or without agoraphobia, social anxiety disorder, specific phobia, PTSD, or OCD. Data extraction and synthesis: Researchers independently screened records, extracted statistics, and assessed study quality. Data were pooled using a random-effects model. Main outcomes and measures: Hedges g was calculated for anxiety symptoms immediately after treatment and at 1 to 6 months, 6 to 12 months, and 12 months or more after treatment completion. Results: Of 69 randomized clinical trials (4118 outpatients) that were mainly of low quality, cognitive behavioral therapy compared with control conditions was associated with improved outcomes after treatment completion and at 1 to 6 months and at 6 to 12 months of follow-up for a generalized anxiety disorder (Hedges g, 0.07-0.40), panic disorder with or without agoraphobia (Hedges g, 0.22-0.35), social anxiety disorder (Hedges g, 0.34-0.60), specific phobia (Hedges g, 0.49-0.72), PTSD (Hedges g, 0.59-0.72), and OCD (Hedges g, 0.70-0.85). At a follow-up of 12 months or more, these associations were still significant for generalized anxiety disorder (Hedges g, 0.22; number of studies [k] = 10), social anxiety disorder (Hedges g, 0.42; k = 3), and PTSD (Hedges g, 0.84; k = 5), but not for panic disorder with or without agoraphobia (k = 5) and could not be calculated for specific phobia (k = 1) and OCD (k = 0). Relapse rates after 3 to 12 months were 0% to 14% but were reported in only 6 randomized clinical trials (predominantly for panic disorder with or without agoraphobia). Conclusions and relevance: The findings of this meta-analysis suggest that cognitive behavioral therapy for anxiety-related disorders is associated with improved outcomes compared with control conditions until 12 months after treatment completion. At a follow-up of 12 months or more, effects were small to medium for generalized anxiety disorder and social anxiety disorder, large for PTSD, and not significant or not available for other disorders. High-quality randomized clinical trials with 12 months or more of follow-up and reported relapse rates are needed.","Randomized clinical trials were included that examined effects of CBT (ie, any therapy with cognitive restructuring and/or a behavioral therapy, such as exposure, as core component),15 including third generation CBTs (ie, acceptance and commitment therapy and metacognitive therapy), at least 1 month after treatment completion, in an individual, group, or internet treatment format. Comparison groups included care as usual (ie, anything patients would normally receive as long as it was not a structured type of psychotherapy, such as primary care at medical centers or case management with educational groups),15 relaxation, psychoeducation, pill placebo, supportive therapy, or waiting list. Studies were included if they tested adult patients (or samples consisting mostly of adults but also some adolescents aged ≥16 years) who received a diagnosis of GAD, PD, SAD, specific phobia, PTSD, or OCD based on results of a structured diagnostic interview. Studies were excluded if they did not use CBT (eg, applied relaxation, eye movement desensitization and reprocessing, or interpersonal therapy) or did not report symptoms separately for each disorder. To reduce clinical heterogeneity, studies were also excluded if they had done any of the following: (1) used self-guided therapy without any guidance, (2) used CBT combined with medication or pill placebo, or (3) tested inpatients.",
Patients Retransitioning from Biosimilar TNF_ Inhibitor to the Corresponding Originator After Initial Transitioning to the Biosimilar: A Systematic Review,"Background: Transitioning patients from an originator to a corresponding biosimilar has been extensively studied in both randomized controlled trials and observational studies. Although transitioning is considered well-tolerated, with no negative impacts on efficacy and/or safety, 2.6-25.8% of patients restart treatment with the originator (retransitioning). Retransitioning to the originator can be considered an indication of biosimilar treatment failure or dissatisfaction with biosimilar treatment. Increasing our knowledge of patients who retransition might help to reduce the number of patients retransitioning. Objective: Our objective was to estimate the cumulative incidence of patients who retransitioned from a tumor necrosis factor (TNF)-α inhibitor biosimilar to originator and to explore potential patient, disease, and treatment and implementation strategy factors associated with retransitioning. Method: We conducted a systematic literature search in the PubMed, EMBASE, and Cochrane Central Register of controlled trials databases until March 2021. Studies on TNFα inhibitors, biosimilar transitioning, and retransitioning were included. Transitioning was defined as switching from an originator to a biosimilar, and retransitioning was defined as switching from an originator to a biosimilar and back to the originator. Characteristics of the studies were descriptively analyzed. Studies were weighted by the number of patients transitioning, and the primary outcome was the median cumulative incidence of retransitioning. For each of the factors related to patient, disease, and treatment and implementation strategy, studies were stratified according to the categories of that factor. The weighted medians and interquartile ranges (IQRs) of the cumulative incidence of retransitioning in these studies were calculated and compared to explore whether a potential association existed between these factors and the cumulative incidence of retransitioning. Results: Of 994 screened publications, 37 were included. The weighted median cumulative incidence of retransitioning was 7.6% (IQR 6.8-17.2). Studies that included only patients with inflammatory bowel disease (6.6 vs. 15.1-17.7% for other indications), included only patients with stable disease (7.0 vs. 13.7% for including all patients), and did not offer retransitioning at the introduction of the biosimilar (7.0 vs. 11.1% for studies that offered retransitioning) reported less retransitioning. In addition, the incidence of retransitioning was lower when extra laboratory monitoring was part of the implementation strategy (1.6 vs. 6.1%) and when gainsharing (patients' healthcare directly benefits from financial savings from transitioning) (1.4 vs. 7.2% for studies without gainsharing) was applied. Conclusions: In studies on transitioning patients from TNFα originator to biosimilar, 8% of patients retransitioned. Retransitioning appeared to be lower in studies that included only patients with stable disease and in studies that did not offer patients the option of retransitioning at the introduction of the biosimilar. In addition, retransitioning appeared to be lower in studies that implemented extra laboratory monitoring as part of the biosimilar implementation strategy. Clinicians should consider implementing these suggestions as they might reduce retransitioning rates and improve the introduction of biosimilars in clinical practice. PROSPERO registration ID: CRD42021226381.","Studies found in the search strategy were merged in Rayyan QCRI and duplicates were removed. Only original research articles were included. Congress abstracts, reviews, editorials, and other opinion articles were excluded. The reference lists of review articles were manually checked by RM for additional potentially relevant articles not captured in the electronic search. Titles, abstracts, and full-text publications of the identified records were screened by RM to select relevant articles, and a 5% random sample was cross checked by HG. In case of uncertainty or disagreement, articles were discussed until consensus was reached and, if necessary, a third reviewer (TG) was consulted. Articles were included if they met the following criteria: (1) study involved transitioning from a TNFα inhibitor (including etanercept, infliximab, and adalimumab) originator to a biosimilar, (2) the number of patients who retransitioned was reported or could be calculated, (3) the article was an original research article published in a peer-reviewed journal, (4) the article included baseline characteristics of the patients who transitioned, (5) the article was written in English, and (6) the full-text version of the article could be obtained. Transitioning was defined as patients in whom the biosimilar was introduced after the originator, without treatment with other drugs in between. Retransitioning was defined as restarting the originator directly after discontinuing a biosimilar, without treatment with other drugs in between. In summary, transitioning was defined as switching from the originator to a biosimilar; retransitioning was defined as switching from the originator to a biosimilar and back to the originator. Both transitioning and retransitioning involved changes with the same active biological substance.",
Pharmacokinetics and Associated Efficacy of Emicizumab in Humans: A Systematic Review,"Introduction: Emicizumab is an effective new treatment option for people with hemophilia A (PwHA). The approved dosing regimens are based on body weight, without the necessity for laboratory monitoring. This assumes a clear dose-concentration-response relationship, with acceptable variability due to factors other than body weight. To investigate this assumption, a systematic review on the pharmacokinetics (PK) and associated efficacy of emicizumab in humans was conducted. Methods: The EMBASE, Pubmed and CENTRAL databases were systematically searched to November 2020 to identify studies on the PK data of emicizumab in humans. Data on the study, population, PK and efficacy (annualized bleeding rate of treated [joint] bleeds) were extracted and synthesized, and exposure effects modeling was performed using non-linear least squares regression in a maximum effect (Emax) model. Results: The 15 included studies reported on data for 140 volunteers and 467 PwHA, including children (0 to <12 years) and adolescents and adults (≥12 years), both with and without factor VIII (FVIII) inhibitors. Emicizumab demonstrated dose-linear PK. The interindividual variability of trough concentrations was moderate (32%) and was similar across various subgroups, such as FVIII inhibitor status, age group and dosing interval. The control of bleeds did not further improve above emicizumab concentrations of 30 µg/mL, potentially enabling lower dosing in a substantial proportion of PwHA. Conclusion: This review supports body weight-based dosing, although individualized monitoring of emicizumab concentrations may allow for more cost-effective dosing.","The following inclusion criteria were applied: emicizumab studies providing (1) data on humans, (2) original PK data or modeled PK data or PK/PD relationships, and (3) access to the abstract and the full text in English.",
